Tienda,CR Tienda,StoreName,Ocurrencia en Caja,Fecha de Registro,Descrpción evento,EventId
Camino Real CLA,50MIW,DCUMIWPRO,13/06/2024 11:59,13/06/2024 14:46,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 03:52,23/06/2024 03:57,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 06:31,23/06/2024 06:35,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,23/06/2024 06:58,23/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWPRO,25/06/2024 13:20,25/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWPRO) inició el Apagar del equipo DCUMIWPRO en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,04/06/2024 02:53,04/06/2024 02:57,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,04/06/2024 12:59,04/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,05/06/2024 05:37,05/06/2024 05:41,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,06/06/2024 08:08,06/06/2024 08:50,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,12/06/2024 06:45,12/06/2024 06:49,El proceso C:\windows\servicing\TrustedInstaller.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: Sistema operativo: actualización (planeada) Código de motivo: 0x80020003 Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,12/06/2024 18:04,12/06/2024 20:46,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,13/06/2024 01:43,13/06/2024 01:48,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,13/06/2024 06:37,13/06/2024 06:42,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,13/06/2024 17:29,13/06/2024 20:47,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,14/06/2024 17:17,14/06/2024 20:46,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,16/06/2024 12:38,16/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,19/06/2024 13:37,19/06/2024 14:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 02:47,20/06/2024 02:51,El proceso C:\windows\SysWOW64\shutdown.exe (DCUMIWVT1) inició el Reinicio del equipo DCUMIWVT1 en nombre del usuario DCUMIWVT1\Apps_Operations por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x800000ff Tipo de apagado: Reinicio Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,20/06/2024 19:55,20/06/2024 19:58,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,21/06/2024 16:04,21/06/2024 20:47,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,22/06/2024 16:20,22/06/2024 20:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,24/06/2024 16:07,24/06/2024 16:11,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,24/06/2024 18:23,24/06/2024 20:45,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
Camino Real CLA,50MIW,DCUMIWVT1,25/06/2024 12:01,25/06/2024 14:51,El proceso C:\windows\system32\winlogon.exe (DCUMIWVT1) inició el Apagar del equipo DCUMIWVT1 en nombre del usuario NT AUTHORITY\SYSTEM por el siguiente motivo: No se encontraron títulos para este motivo Código de motivo: 0x500ff Tipo de apagado: Apagar Comentario:,1074
